Category	Icon	Colour	Name	Source type	Source name	Overview pin	Zones	Requirements	Requires flying?	Added in	Projected popularity	Comments	Pins	Areas	See also
				Disenchanted	High level Wrath greens	~	Enchanting	Enchanting	FALSE	Phase 1	0	Green items with item level 152 - 200 (requires level 73 - 80.) See table, data credit to Goodwinn on Wowhead.			
				Crafted	Abyssal Shatter	~	~	Enchanting	FALSE	Unknown	0	Converts one Abyss Crystal into an average of 9.25 Infinite Dust (33% chance) or 2.78 Greater Cosmic Essence (66% chance)			Enchanting, Abyss Crystal
			Infinite Dust												
				Disenchanted	Any Wrath green	~	Enchanting	Enchanting	FALSE	Phase 1	0	Green items with item level 130 - 200 (required level 67 - 80.) Items below level 152 drop 2-3, above drop 4-7. See table, data credit to Goodwinn on Wowhead.			
				Crafted	Abyssal Shatter	~	~	Enchanting	FALSE	Phase 1	0	Converts one Abyss Crystal into an average of 9.25 Infinite Dust (33% chance) or 2.78 Greater Cosmic Essence (66% chance)			Enchanting, Abyss Crystal
			Lesser Cosmic Essence												
				Disenchanted	Low level Wrath greens	~	Enchanting	Enchanting	FALSE	Phase 1	0	Green items with item level 130 - 151 (requires level 67 - 72.) See table, data credit to Goodwinn on Wowhead.			
				Created	Greater Cosmic Essence	~	Enchanting	~	FALSE	Phase 1	0	1 into 3 just like all essences. Anyone can do this.			Enchanting, Greater Cosmic Essence
			Runed Titanium Rod												
				Crafted	Runed Titanium Rod	~	~	Enchanting	FALSE	Phase 1	0	In addition to the obvious Titanium Rod, also requires 40 Infinite Dust, 12 Greater Cosmic Essences, 8 Large Dream Shards, and your trusty Eternium Rod.			Enchanting, Titanium Rod; Enchanting, Infinite Dust; Enchanting, Greater Cosmic Essence; Enchanting, Large Dream Shard
			Small Dream Shard												
				Disenchanted	Low level Wrath blues	~	Enchanting	Enchanting	FALSE	Phase 1	0	Blue items with item level 130 - 166 (requires level 69 - 77.) See table, data credit to Goodwinn on Wowhead.			
				Disenchanted	Low level Wrath greens	~	Enchanting	Enchanting	FALSE	Phase 1	0	3% chance to be disenchanted from item level 130 - 151 greens (requires level 69 - 77.) See table, data credit to Goodwinn on Wowhead.			
			Titanium Rod												
				Crafted	Titanium Rod	~	~	Blacksmithing	FALSE	Phase 1	0	Crafted by your favorite blacksmith out of two Saronite Bars and a Titanium Bar.			Metal, Saronite Bar; Metal, Titanium Bar
Herb	Herbalism	#6aa84f													
			Adder's Tongue												
				Gathered	Sholazar Basin	26.39, 43.26	Sholazar Basin	Herbalism	FALSE	Phase 1	2	Not terribly useful and very plentiful, this should be one of the easier herbs to gather. Grows near other plants.		40.00, 20.50;43.90, 23.50; 39.60, 35.85; 33.88, 31.60 | 56.5, 31.5; 62.9, 32.8; 56.6, 54.5; 52.3, 56.8; 43.5, 59.5; 43.3, 77.9; 40.8, 87.8; 28.8, 84.8; 26.6, 77.6; 22.6, 59.1; 21.5, 56.3; 23.1, 46.8; 32.0, 41.4; 35.2, 45.1; 38.6, 55.5; 46.5, 49.2; 53.5, 44.0; 57.6, 41.3 | 59.2, 72.5; 71.1, 69.1; 62.9, 83.5; 58.7, 80.5	
				Gathered	Gundrak	73.14, 35.5	Gundrak	Herbalism, Group	FALSE	Phase 1	0	Gundrak contains two Adder's Tongue nodes. One is feasibly stealthable by going past the Den of Sseratus just inside the northwestern entrance. The node spawns either side of the water after leaving the Den, which you can do without slaying Sseratus. The other node is only found on Heroic, entering the cave on the west side of the Cave of Mam'toth after slaying Moorabi.	56.3, 58.9; 52.6, 65.9	21.3, 54.3; 25.5, 55.1; 26.7, 57.4; 23.3, 60.3	
				Drop	Alchemist's Cache	57.61, 14.28	Ulduar: Inner Sanctum	Alchemy	TRUE	Phase 2	0	Awarded after defeating Freya, but probably taken by the guild bank or rolled. Her garden also contains many herbs, of which you'll get what you get.		54.4, 21.8; 59.3, 23.7; 57.1, 40.3; 49.7, 48.1; 47.9, 34.1	
				Gathered	Drak'tharon Keep	64.41, 54.0	Drak'tharon Keep: The Vestibules	Herbalism, Group	FALSE	Phase 1	0	Two nodes of Adder's Tongue spawn in the raptor pens. It's plausible to stealth through and grab one, but given the spawn locations and various sizes of dinosaur in the area, getting both is likely impossible, may even get none.		53.33, 80.02; 68.70, 80.22; 66.25, 88.38; 61.35, 91.75; 55.71, 88.38	
				Gathered	Any gatherable mob	~	Any	Herbalism	FALSE	Phase 1	1	Very insignificant drop chance for anything in particular.			Elemental, Crystallized Life
			Deadnettle												
				Gathered	Other plants	~	Any	Herbalism	FALSE	Phase 1	1	Random additional drop from Frost Lotus, Goldclover, Talandra's Rose, or Tiger Lily.			Herb, Frost Lotus; Herb, Goldclover; Herb, Talandra's Rose; Herb, Tiger Lily
			Fire Leaf												
				Gathered	Borean Tundra	25.64, 58.36	Borean Tundra	Herbalism	FALSE	Phase 1	1	On the edge of them steam pools. It serves no purpose other than milling, so it should be the major pressure on ink prices.		58.2, 15.8; 60.8, 14.0; 67.3, 15.4; 73.7, 24.2; 75.0, 39.9; 72.3, 41.2; 65.6, 36.7; 59.5, 41.9; 58.5, 39.0	
				Drop	Alchemist's Cache	57.61, 14.28	Ulduar: Inner Sanctum	Alchemy, Group	TRUE	Phase 2	0	Awarded after defeating Freya, but probably taken by the guild bank or rolled. Her garden also contains many herbs, of which you'll get what you get.		54.4, 21.8; 59.3, 23.7; 57.1, 40.3; 49.7, 48.1; 47.9, 34.1	
			Frost Lotus												
				Gathered	Any Wrath herb	~	Any	Herbalism	FALSE	Phase 1	2	Gather anything and good fortune will come to you.			Herb
				Sold	Frozo the Renowned	49.59, 42.85	Dalaran	~	FALSE	Phase 4?	1	A Lotus for an Orb.	40.1, 28.3		
				Gathered	Lake Wintergrasp	36.19, 48.97	Lake Wintergrasp	Herbalism	TRUE	Phase 1	5	While pure nodes exist, don't expect to find any other than by happening to stand on their spawn point.		61.6 17.6; 67.0 18.2; 69.0 28.3; 80.6 40.4; 81.3 46.5; 73.7 68.5; 61.7 69.9; 59.4 78.2; 25.0 71.6; 10.5 54.6; 20.8 43.9; 26.8 25.9; 33.7 17.0; 38.3 19.9; 45.7 32.6; 55.5 31.4	
				Drop	Alchemist's Cache	57.61, 14.28	Ulduar: Inner Sanctum	Alchemy, Group	TRUE	Phase 2	0	Awarded after defeating Freya, but probably taken by the guild bank or rolled. Her garden also contains many herbs, of which you'll get what you get.		54.4, 21.8; 59.3, 23.7; 57.1, 40.3; 49.7, 48.1; 47.9, 34.1	
			Goldclover												
				Gathered	Howling Fjord	74.82, 78.25	Howling Fjord	Herbalism	FALSE	Phase 1	2	Likes to grow in areas where other herbs wouldn't: Plains some distance from water. Almost all nodes are on the high ground of the cliffs and many follow the roads.		50.2, 16.6; 56.8, 18.7; 65.8, 26.8; 72.3, 18.5; 73.6, 26.7; 70.3, 35.5; 80.5, 46.2; 76.9, 49.9; 76.7, 63.9; 76.5, 67.8; 69.5, 74.5; 65.8, 72.5; 64.8, 67.6; 67.9, 59.6; 70.1, 47.3; 70.3, 40.6; 66.5, 33.5; 58.9, 25.8; 48.7, 21.2|55.9, 36.6; 58.1 37.0; 60.0 39.2; 58.3 40.1|59.2 50.3; 59.0 55.6; 57.2 55.9|37.0 39.9; 40.9 40.2; 51.1 41.8; 51.0 48.3; 45.9 50.1; 48.0 59.2; 52.5 60.5; 62.6 80.5; 60.5 81.3; 46.8 71.6; 45.0 59.5; 35.7 53.6; 34.9 46.2|26.7 60.9; 33.2 63.5; 30.0 69.2|33.5 76.5; 34.5 76.2; 35.6 77.8; 33.9 79.1	
				Gathered	Grizzly Hills	63.39, 60.81	Grizzly Hills	Herbalism	FALSE	Phase 1	2	Likes to grow in areas where other herbs wouldn't: Plains some distance from water. Forms two distinct groups, one in the western lowlands and one forming a distant semi-circle around Camp Oneqwah.		45.8 31.1; 47.7 27.0; 49.2 27.2; 49.1 29.8; 47.1 33.0|54.8 46.8; 54.6 31.4; 57.1 28.1; 59.7 29.8; 63.0 24.1; 65.1 22.1; 68.5 21.5; 73.8 23.5; 73.5 35.6; 75.6 36.5; 78.2 42.4; 82.2 56.1; 76.8 50.7; 70.2 51.1; 72.5 43.1; 67.8 30.0; 63.2 33.2; 57.2 30.8; 55.8 44.5|9.1 39.7; 10.7 34.6; 12.2 36.3; 12.9 45.6; 18.0 45.5; 17.5 49.6; 12.2 55.8|12.2 55.8; 17.7 63.1;19.8 68.4; 20.4 74.8; 19.4 74.9; 18.1 67.6; 12.5 63.7|24.1 47.9; 26.5 53.5; 26.5 56.3; 21.2 59.2; 20.6 57.8|33.8 58.7; 34.7, 57.1; 35.7 58.0	
				Gathered	Borean Tundra	22.04, 61.62	Borean Tundra	Herbalism	FALSE	Phase 1	2	Likes to grow in areas where other herbs wouldn't: Plains some distance from water. Spawns in Borean Tundra are quite spread and you must pass through hostile terrain, making a fast flying mount highly recommended.		44.8 5.8; 48.2 7.5; 47.1 11.3; 43.9 11.0|62.6 13.4; 64.7 11.6; 79.9 32.6; 79.3 41.0; 76.5 43.4; 76.7 32.0|47.7 21.7; 53.4 19.3; 58.9 30.6; 57.0 34.0|53.3 39.7; 57.8 47.2; 66.0 39.5; 69.6 43.8; 61.8 46.8; 61.7 60.5; 54.3 61.5; 41.9 36.9|54.3 61.5; 50.0 75.9; 43.0 75.7; 33.8 65.6; 34.7 51.6; 41.0 45.0; 40.5 48.9; 36.5 54.9; 39.7 67.8; 43.9 71.8	
				Gathered	Sholazar Basin	26.39, 43.26	Sholazar Basin	Herbalism	FALSE	Phase 1	2	Likes to grow in areas where other herbs wouldn't: Plains some distance from water. Farming specifically Goldclover in Sholazar Basin is inefficient as it doesn't spawn in half the zone, but you can pick other herbs as you go.		67.3 70.7; 71.2 69.5; 70.5 71.7|57.0 76.0; 59.9 81.2; 57.6 80.5| 27.1 74.7; 33.1 80.5; 35.7 86.3; 25.5 78.3|23.5 54.0; 24.2 47.7; 28.9 42.1; 35.6 32.5; 32.7 40.5; 33.5 46.1; 30.7 50.5; 33.0 60.4; 29.0 61.5|58.8 25.8; 59.3 36.5; 55.5 35.8; 51.6 42.5; 49.5 44.7; 44.5 42.1; 40.0 27.5; 52.2 25.5	
				Gathered	Dragonblight	46.32, 57.44	Dragonblight	Herbalism	FALSE	Phase 1	2	Only grows in the red and green dragon shrine in Dragonblight, as only they offer its preferred terrain.		48.6 45.9; 49.2 50.4; 47.5 52.1; 45.9 47.0|63.6 70.6; 65.1 71.8; 65.6 74.6; 64.8 77.2	
				Gathered	Azjol-Nerub	39.27, 57.25	Azjol-Nerub: Hadronox's Lair	Herbalism, Group	FALSE	Phase 1	0	One node spawns after Hadronox before the drop, one after. Impractical to stealth and to solo as it requires defeating two bosses.	43.1 37.1; 24.5 65.6		
				Gathered	Ahn'Kahet	40.27, 58.25	Ahn'Kahet	Herbalism, Group	FALSE	Phase 1	0	Prince Taldaram must be dead to gather this. Found in Amanitar's area, where groups usually don't go. However, gathering after a regular instance run is plausible if you can kill singular elites.		62.1 74.7; 62.1 74.7; 62.1 74.7; 69.4 64.8; 72.2 64.6; 74.7 77.3	
				Gathered	Frozen Herb: Zul'Drak	72.58, 39.69	Zul'Drak	~	FALSE	Phase 1	2	Contains a random node's yield among Goldclover, Tiger Lily, and Talandra's Rose. Only found in the higher, snow-covered tiers of Zul'Drak.		49.5 34.1; 54.6 33.0; 57.5 35.8; 58.3 39.0; 61.6 44.3; 64.9 49.5; 57.6 60.9; 67.0 76.7; 65.6 78.5; 51.8 60.8; 56.3 42.9; 56.2 36.3; 49.6 36.3|69.6 56.2; 74.9 56.1; 78.2 60.9; 78.1 67.8; 77.2 71.6; 74.5 72.5; 70.7 70.0; 70.1 61.3|65.5 33.4; 71.9 33.9; 71.9 19.3; 81.3 12.5; 83.7 12.9; 86.2 29.2; 79.9 34.8; 78.5 43.5; 70.7 44.5; 67.0 42.6; 64.8 36.6	
				Gathered	Frozen Herb: Dragonblight	43.26, 61.01	Dragonblight	~	FALSE	Phase 1	2	Contains a random node's yield among Goldclover, Tiger Lily, and Talandra's Rose. Grows near other vegetation, so not found in the middle third of the zone.		76.0 32.2; 86.5 20.2; 89.8 31.5; 91.8 50.1; 82.8 39.6|75.8 67.7; 76.5 75.4; 74.6 73.8; 74.1 69.1|80.5 64.8; 84.3 59.5; 92.1 57.8; 91.6 64.1; 86.2 61.5; 81.7 65.1|89.5 72.1; 90.5 74.7; 90.2 76.1; 89.7 74.3|56.2 71.3; 43.8 74.7; 36.5 74.9; 36.5 74.9; 33.1 58.9; 39.9 53.9; 48.8 61.1|14.3 58.5; 15.6 46.3; 19.8 46.8; 20.5 50.9; 25.0 52.9; 28.9 48.3; 37.6 41.5; 30.8 49.6; 28.4 53.8; 27.5 61.5; 23.6 61.7|42.7 47.3; 43.7 47.1; 44.1 48.6; 43.3 48.5|42.3 35.1; 44.9 35.2; 44.1 36.4; 42.6 36.7|49.2 20.5; 45.2 10.5; 46.7 10.5; 50.6 20.3	
				Gathered	Frozen Herb: Lake Wintergrasp	36.19, 48.97	Lake Wintergrasp	~	FALSE	Phase 1	2	Contains a random node's yield among Goldclover, Tiger Lily, and Talandra's Rose. Since it's not usually why people come to Wintergrasp, should be easy to find.		61.6 17.6; 67.0 18.2; 69.0 28.3; 80.6 40.4; 81.3 46.5; 73.7 68.5; 61.7 69.9; 59.4 78.2; 25.0 71.6; 10.5 54.6; 20.8 43.9; 26.8 25.9; 33.7 17.0; 38.3 19.9; 45.7 32.6; 55.5 31.4	
				Gathered	Frozen Herb: The Nexus	14.49, 58.46	The Nexus	Herbalism, Group	FALSE	Phase 1	0	It is plausible to pick two nodes in the garden area to the right of the entrance with stealth, but it would probably require slaying some trash.	51.6 52.2; 54.6 60.5; 59.0 55.7; 65.8 50.4; 65.8 50.4; 55.7 65.6		
				Gathered	Any gatherable mob	~	Any	Herbalism	FALSE	Phase 1	1	Very insignificant drop chance for anything in particular.			Elemental, Crystallized Life
			Icethorn												
				Gathered	Storm Peaks	57.54, 28.36	Storm Peaks	Herbalism	TRUE	Phase 1	3	Seems to share spawns with Lichbloom. Grows on snow and ice, so everywhere.		21.6 55.7; 22.2 36.7; 47.7 36.0; 38.8 48.5; 32.1 50.5; 28.6 53.1; 27.8 60.0; 22.6 62.8|32.7 16.7; 36.7 11.7; 46.4 11.9|24.6 72.5; 29.7 64.3; 35.9 64.1; 39.0 52.7; 47.7 55.1; 52.0 59.0; 47.7 63.6; 40.3 64.5; 36.8 64.3; 38.9 75.1; 49.3 76.7; 49.0 78.4; 40.3 87.9; 37.7 94.3; 32.9 93.8; 29.5 82.0; 32.8 74.5; 29.9 70.8; 26.6 73.1|51.1 48.1; 57.4 40.9; 65.6 40.6; 66.4 48.7; 70.9 47.2; 74.0 49.9; 72.3 59.9; 77.8 59.7; 75.5 65.9; 80.2 69.9; 82.3 74.0; 69.2 72.1; 64.9 74.8; 61.0 76.2; 51.5 75.6; 45.7 69.9; 48.5 58.5	
				Gathered	Icecrown	40.00, 28.26	Icecrown	Herbalism	TRUE	Phase 1	3	Seems to share spawns with Lichbloom. Grows on snow and ice, but also the lowlands of Icecrown.		19.5 47.9; 23.0 44.8; 23.8 33.5; 29.5 26.9; 35.2 22.6; 47.8 21.5; 47.4 30.9; 46.5 34.2; 39.5 36.0; 37.5 32.2; 33.5 29.1; 31.1 33.6; 32.0 46.3; 30.5 48.2|13.4 58.6; 14.1 54.4; 20.3 48.5; 24.2 61.6; 22.3 62.1; 19.1 57.7|37.1 46.3; 38.3 41.5; 50.9 36.3; 51.2 43.1; 47.3 54.2; 48.6 63.5; 53.0 63.9; 51.8 73.6; 49.4 86.6; 46.1 84.7; 45.1 67.0; 39.5 64.5; 36.9 57.9|60.7 73.5; 59.4 76.6; 58.4 76.8|55.8 43.2; 56.3 36.6; 62.0 33.8; 66.5 41.9; 65.5 46.1; 62.1 47.5|68.8 38.8; 74.0 29.1; 79.9 28.2; 80.3 33.2; 72.2 53.0; 69.5 48.6| 67.9 56.5; 69.4 56.5; 72.6 73.1; 68.5 75.9; 66.7 59.7	
				Gathered	Lake Wintergrasp	36.19, 48.97	Lake Wintergrasp	Herbalism	FALSE	Phase 1	3	Seems to share spawns with Lichbloom. Grows on snow and ice, so everywhere.		61.6 17.6; 67.0 18.2; 69.0 28.3; 80.6 40.4; 81.3 46.5; 73.7 68.5; 61.7 69.9; 59.4 78.2; 25.0 71.6; 10.5 54.6; 20.8 43.9; 26.8 25.9; 33.7 17.0; 38.3 19.9; 45.7 32.6; 55.5 31.4	
				Gathered	Utgarde Pinnacle		Utgarde Pinnacle: Upper Pinnacle	Herbalism, Group	FALSE	Phase 1	0	Found on the outside balconies (even though the Fjord isn't cold enough in that area?) Stealth is impractical at best as each node has a trash pack and/or a Skadi on it and the dungeon is high level even on normal		32.4 42.6; 33.6 51.5; 32.6 67.5|70.2 37.4; 70.2 60.0; 67.5 66.5	
				Gathered	The Oculus	14.49, 58.46	The Oculus: Band of Transmutation	Herbalism, Group	FALSE	Phase 1	0	Found on the Band of Transmutation, where the third boss Mage-Lord Urom resides. It is plausible to grab most of if not all possible spawns without killing any more than the first boss. Make sure to check the inner ring too.	65.8 18.3; 58.5 85.7; 44.0 87.3; 29.0 22.7		
				Gathered	Any gatherable mob	~	Any	Herbalism	FALSE	Phase 1	1	Very insignificant drop chance for anything in particular.			Elemental, Crystallized Life
				Drop	Alchemist's Cache	57.61, 14.28	Ulduar: Inner Sanctum	Alchemy, Group	TRUE	Phase 2	0	Awarded after defeating Freya, but probably taken by the guild bank or rolled. Her garden also contains many herbs, of which you'll get what you get.		54.4, 21.8; 59.3, 23.7; 57.1, 40.3; 49.7, 48.1; 47.9, 34.1	
			Lichbloom												
				Gathered	Storm Peaks	57.54, 28.36	Storm Peaks	Herbalism	TRUE	Phase 1	3	Seems to share spawns with Icethorn. Grows on snow and ice, so everywhere.		21.6 55.7; 22.2 36.7; 47.7 36.0; 38.8 48.5; 32.1 50.5; 28.6 53.1; 27.8 60.0; 22.6 62.8|32.7 16.7; 36.7 11.7; 46.4 11.9|24.6 72.5; 29.7 64.3; 35.9 64.1; 39.0 52.7; 47.7 55.1; 52.0 59.0; 47.7 63.6; 40.3 64.5; 36.8 64.3; 38.9 75.1; 49.3 76.7; 49.0 78.4; 40.3 87.9; 37.7 94.3; 32.9 93.8; 29.5 82.0; 32.8 74.5; 29.9 70.8; 26.6 73.1|51.1 48.1; 57.4 40.9; 65.6 40.6; 66.4 48.7; 70.9 47.2; 74.0 49.9; 72.3 59.9; 77.8 59.7; 75.5 65.9; 80.2 69.9; 82.3 74.0; 69.2 72.1; 64.9 74.8; 61.0 76.2; 51.5 75.6; 45.7 69.9; 48.5 58.5	
				Gathered	Icecrown	40.00, 28.26	Icecrown	Herbalism	TRUE	Phase 1	3	Seems to share spawns with Icethorn. Grows on snow and ice, but also the lowlands of Icecrown.		19.5 47.9; 23.0 44.8; 23.8 33.5; 29.5 26.9; 35.2 22.6; 47.8 21.5; 47.4 30.9; 46.5 34.2; 39.5 36.0; 37.5 32.2; 33.5 29.1; 31.1 33.6; 32.0 46.3; 30.5 48.2|13.4 58.6; 14.1 54.4; 20.3 48.5; 24.2 61.6; 22.3 62.1; 19.1 57.7|37.1 46.3; 38.3 41.5; 50.9 36.3; 51.2 43.1; 47.3 54.2; 48.6 63.5; 53.0 63.9; 51.8 73.6; 49.4 86.6; 46.1 84.7; 45.1 67.0; 39.5 64.5; 36.9 57.9|60.7 73.5; 59.4 76.6; 58.4 76.8|55.8 43.2; 56.3 36.6; 62.0 33.8; 66.5 41.9; 65.5 46.1; 62.1 47.5|68.8 38.8; 74.0 29.1; 79.9 28.2; 80.3 33.2; 72.2 53.0; 69.5 48.6| 67.9 56.5; 69.4 56.5; 72.6 73.1; 68.5 75.9; 66.7 59.7	
				Gathered	Lake Wintergrasp	36.19, 48.97	Lake Wintergrasp	Herbalism	FALSE	Phase 1	3	Seems to share spawns with Icethorn. Grows on snow and ice, so everywhere.		61.6 17.6; 67.0 18.2; 69.0 28.3; 80.6 40.4; 81.3 46.5; 73.7 68.5; 61.7 69.9; 59.4 78.2; 25.0 71.6; 10.5 54.6; 20.8 43.9; 26.8 25.9; 33.7 17.0; 38.3 19.9; 45.7 32.6; 55.5 31.4	
				Gathered	Any gatherable mob	~	Any	Herbalism	FALSE	Phase 1	1	Very insignificant drop chance for anything in particular.			Elemental, Crystallized Life
				Drop	Alchemist's Cache	57.61, 14.28	Ulduar: Inner Sanctum	Alchemy, Group	TRUE	Phase 2	0	Awarded after defeating Freya, but probably taken by the guild bank or rolled. Her garden also contains many herbs, of which you'll get what you get.		54.4, 21.8; 59.3, 23.7; 57.1, 40.3; 49.7, 48.1; 47.9, 34.1	
			Talandra's Rose												
				Gathered	Zul'Drak	66.66, 42.75	Zul'Drak	Herbalism	FALSE	Phase 1	2	Grows near stone.		21.8 50.0; 23.0 47.5; 29.8 41.5; 44.3 43.0; 44.5 65.0; 48.9 61.5; 58.2 73.5; 58.2 81.5; 35.1 88.7; 20.3 85.1; 22.0 78.1; 26.7 75.7; 29.5 64.3; 29.7 57.1	
				Gathered	Ahn'kahet	40.27, 58.25	Ahn'kahet	Herbalism	FALSE	Phase 1	0	Guarded by trash, but near the entrance and does not require killing a boss. If you can clear a pack, you can grab this.		70.2 37.7; 63.6 37.9; 59.6 45.4	
				Gathered	Frozen Herb: Zul'Drak	72.58, 39.69	Zul'Drak	~	FALSE	Phase 1	2	Contains a random node's yield among Goldclover, Tiger Lily, and Talandra's Rose. Only found in the higher, snow-covered tiers of Zul'Drak.		49.5 34.1; 54.6 33.0; 57.5 35.8; 58.3 39.0; 61.6 44.3; 64.9 49.5; 57.6 60.9; 67.0 76.7; 65.6 78.5; 51.8 60.8; 56.3 42.9; 56.2 36.3; 49.6 36.3|69.6 56.2; 74.9 56.1; 78.2 60.9; 78.1 67.8; 77.2 71.6; 74.5 72.5; 70.7 70.0; 70.1 61.3|65.5 33.4; 71.9 33.9; 71.9 19.3; 81.3 12.5; 83.7 12.9; 86.2 29.2; 79.9 34.8; 78.5 43.5; 70.7 44.5; 67.0 42.6; 64.8 36.6	
				Gathered	Frozen Herb: Dragonblight	43.26, 61.01	Dragonblight	~	FALSE	Phase 1	2	Contains a random node's yield among Goldclover, Tiger Lily, and Talandra's Rose. Grows near other vegetation, so not found in the middle third of the zone.		76.0 32.2; 86.5 20.2; 89.8 31.5; 91.8 50.1; 82.8 39.6|75.8 67.7; 76.5 75.4; 74.6 73.8; 74.1 69.1|80.5 64.8; 84.3 59.5; 92.1 57.8; 91.6 64.1; 86.2 61.5; 81.7 65.1|89.5 72.1; 90.5 74.7; 90.2 76.1; 89.7 74.3|56.2 71.3; 43.8 74.7; 36.5 74.9; 36.5 74.9; 33.1 58.9; 39.9 53.9; 48.8 61.1|14.3 58.5; 15.6 46.3; 19.8 46.8; 20.5 50.9; 25.0 52.9; 28.9 48.3; 37.6 41.5; 30.8 49.6; 28.4 53.8; 27.5 61.5; 23.6 61.7|42.7 47.3; 43.7 47.1; 44.1 48.6; 43.3 48.5|42.3 35.1; 44.9 35.2; 44.1 36.4; 42.6 36.7|49.2 20.5; 45.2 10.5; 46.7 10.5; 50.6 20.3	
				Gathered	Frozen Herb: Lake Wintergrasp	36.19, 48.97	Lake Wintergrasp	~	FALSE	Phase 1	2	Contains a random node's yield among Goldclover, Tiger Lily, and Talandra's Rose. Since it's not usually why people come to Wintergrasp, should be easy to find.		61.6 17.6; 67.0 18.2; 69.0 28.3; 80.6 40.4; 81.3 46.5; 73.7 68.5; 61.7 69.9; 59.4 78.2; 25.0 71.6; 10.5 54.6; 20.8 43.9; 26.8 25.9; 33.7 17.0; 38.3 19.9; 45.7 32.6; 55.5 31.4	
				Gathered	Frozen Herb: The Nexus	14.49, 58.46	The Nexus	Herbalism, Group	FALSE	Phase 1	0	It is plausible to pick two nodes in the garden area to the right of the entrance.	51.6 52.2; 54.6 60.5; 59.0 55.7; 65.8 50.4; 65.8 50.4; 55.7 65.6		
				Gathered	Any gatherable mob	~	Any	Herbalism	FALSE	Phase 1	1	Very insignificant drop chance for anything in particular.			Elemental, Crystallized Life
				Drop	Alchemist's Cache	57.61, 14.28	Ulduar: Inner Sanctum	Alchemy, Group	TRUE	Phase 2	0	Awarded after defeating Freya, but probably taken by the guild bank or rolled. Her garden also contains many herbs, of which you'll get what you get.		54.4, 21.8; 59.3, 23.7; 57.1, 40.3; 49.7, 48.1; 47.9, 34.1	
			Tiger Lily												
				Gathered	Borean Tundra	53.33, 42.88	Borean Tundra	Herbalism	FALSE	Phase 1	2	Since Tiger Lily only spawns on this one lake in Borean Tundra, it gets ALL the spawns. I have personally seen six nodes up at once, reportedly it can go up to seven.		52.8 41.5; 54.0 42.6; 54.1 46.5; 53.2 48.5; 51.3 48.2; 49.7 45.5; 49.3 43.2	
				Gathered	Sholazar Basin	24.15, 44.82	Sholazar Basin	Herbalism	FALSE	Phase 1	2	Best I could tell, it does not grow anywhere but the marked zones even though the terrain is the same. Regardless, you can hit most nodes on a compact route and grab other plants on the way.		24.2 45.8; 25.3 43.3; 24.2 45.8|64.2 46.4; 63.9 48.9; 63.0 48.0|68.7 66.6; 69.5 66.7; 69.5 68.4; 68.4 68.0|51.4 86.3; 57.5 83.3; 60.1 85.3; 58.3 86.6|44.6 49.1; 49.0 50.1; 50.2 55.9|47.9 60.1; 50.5 62.5; 50.1 65.0; 47.0 65.5; 46.2 63.1|48.5 68.8; 49.5 71.1; 45.6 75.5; 43.6 75.5; 43.7 74.1|22.4 60.5; 25.3 59.0; 27.2 61.0; 32.5 60.4; 32.7 64.5; 22.7 61.5	
				Gathered	Grizzly Hills	64.41,59.30	Grizzly Hills	Herbalism	FALSE	Phase 1	2	Going along the western waterway is recommended for more nodes, but since you have to contend with the terrain and an enemy town it may be a pain without a flying mount. The eastern cluster is less populated but easier especially for horde players. Switching from the west river to the east is of course also possible.		8.7 35.0; 13.7 38.0; 20.1 40.7; 30.2 39.6; 32.3 43.8; 36.1 31.7; 41.9 33.8; 42.0 35.2; 35.3 43.4; 31.0 47.0; 30.3 55.6; 29.2 62.5; 27.6 69.8; 26.3 72.1; 25.1 71.6; 30.5 45.0; 24.4 41.5; 20.0 42.2; 9.7 41.1|54.1 38.7; 54.9 40.2; 56.1 51.0; 54.2 52.1; 53.2 48.3; 53.9 40.0|68.5 47.8; 69.4 44.9; 70.7 43.9; 72.8 46.3; 71.3 47.6|61.4 49.2; 62.7 50.1; 66.6 54.9; 67.5 57.6; 61.0 55.0	
				Gathered	Howling Fjord	74.0, 73.59	Howling Fjord	Herbalism	FALSE	Phase 1	2	The Fjord's elevation and wide waterways make this a big pain without flying.		22.2 26.0; 39.2 20.0; 46.3 18.9; 43.8 23.7; 26.5 27.4|42.5 39.9; 49.3 40.3; 47.2 41.5; 44.3 41.5|56.3 34.5; 58.9 35.1; 60.2 37.7; 55.3 37.0|60.2 52.3; 59.7 55.9; 53.4 57.7; 52.5 50.0; 52.8 45.05; 55.7 45.1|60.0 32.5; 66.8 19.1; 68.5 20.8; 67.1 22.5; 61.8 32.9	
				Gathered	Azjol-Nerub	39.27, 57.25	Azjol-Nerub: The Gilded Gate		FALSE		0	One node spawns in front of the first boss and can plausibly be gathered by slaying a little trash. The second requires killing the first boss and going down the drop.	35.9 46.5		
				Gathered	Ahn'kahet	40.27, 58.25	Ahn'kahet	Herbalism, Group	FALSE	Phase 1	0	Prince Taldaram must be dead to gather this. Found in Amanitar's area, where groups usually don't go. However, gathering after a regular instance run is plausible if you can kill singular elites.		62.1 74.7; 62.1 74.7; 62.1 74.7; 69.4 64.8; 72.2 64.6; 74.7 77.3	
